code,old_concept,thesaurus,concept,AAT ID,status
aquatint,Aquatint,Digipolis Thesauri\Techniek Type\,aquatint (printing process),300053242,
collage,Collage,Digipolis Thesauri\Techniek Type\,collage (technique),300138699,
digitaal,Digitaal Formaat,Digipolis Thesauri\Techniek Type\,born digital,300374824,
droge naald,Droge Naald,Digipolis Thesauri\Techniek Type\,drypoint (printing process),300053228,
geaquarelleerd,Geaquarelleerd,Digipolis Thesauri\Techniek Type\,aquarelle (technique),300053363,
gemengde techniek,Gemengde Techniek,Digipolis Thesauri\Techniek Type\,mixed media,300163347,
getypt,Getypt,Digipolis Thesauri\Techniek Type\,typewriting,300247929,production
getypt met handschriftelijke toevoegingen,Getypt Met Handgeschreven Toevoegingen,Digipolis Thesauri\Techniek Type\,typewriting,300247929,production
gewassen,Gewassen,Digipolis Thesauri\Techniek Type\,ink wash (technique),300404638,
handgeschreven,Handgeschreven,Digipolis Thesauri\Techniek Type\,handwriting,300252927,production
kopergravure,Kopergravure,Digipolis Thesauri\Techniek Type\,copper engraving (printing process),300190531,
lavis,Lavis,Digipolis Thesauri\Techniek Type\,lavis (technique),300417481,
sepiamonotype,Monotype,Digipolis Thesauri\Techniek Type\,monotype (planographic process),300053277,
mezzotint,Mezzotint,Digipolis Thesauri\Techniek Type\,mezzotint (process),300053233,
monotype,Monotype,Digipolis Thesauri\Techniek Type\,monotype (planographic process),300053277,
pen,Pen,Digipolis Thesauri\Techniek Type\,pens (drawing and writing implements),300022452,
penseel,Penseel,Digipolis Thesauri\Techniek Type\,artists' brushes,300022552,
tegendruk,Tegendruk,Digipolis Thesauri\Techniek Type\,counterproving (printing),300404072,
vernis mou,Vernis Mou,Digipolis Thesauri\Techniek Type\,soft-ground etching (process),300053251,
