code,old_concept,thesaurus,concept,AAT ID,status,
aquarel,Aquarel,Digipolis Thesauri\Materiaal Type\,watercolor (paint),300015045,,
aquatint,Aquatint,Digipolis Thesauri\Materiaal Type\,ink,300015012,,
balpen,Balpen,Digipolis Thesauri\Materiaal Type\,ball-point pens,300022453,,
bisterwas,Bisterwas,Digipolis Thesauri\Materiaal Type\,bister (pigment),300013351,,
burain,,,,,,
collage,,,,,,
conté,Cont√©,Digipolis Thesauri\Materiaal Type\,Conté crayon (TM),300011729,,
dekverf,Dekverf,Digipolis Thesauri\Materiaal Type\,deck paint,300015071,,
droge naald,Droge Naald,Digipolis Thesauri\Materiaal Type\,ink,300015012,,
échoppe,Echoppe-Ets,Digipolis Thesauri\Materiaal Type\,ink,300015012,,
geaquarelleerd,Geaquarelleerd,Digipolis Thesauri\Materiaal Type\,watercolor (paint),300015045,,
gemengd,,,,,production,?
gewassen,Gewassen,Digipolis Thesauri\Materiaal Type\,ink,300015012,,
houtskool,Houtskool,Digipolis Thesauri\Materiaal Type\,charcoal (material),300012862,,
inkt,Inkt,Digipolis Thesauri\Materiaal Type\,ink,300015012,production,
kleurkrijt,Kleurkrijt,Digipolis Thesauri\Materiaal Type\,chalk sticks,300022413,,
kleurpotlood,Kleurpotlood,Digipolis Thesauri\Materiaal Type\,colored pencils,300022441,,
kogelpen,Kogelpen,Digipolis Thesauri\Materiaal Type\,ball-point pens,300022453,,
kopergravure,Kopergravure,Digipolis Thesauri\Materiaal Type\,ink,300015012,,
krijt,Krijt,Digipolis Thesauri\Materiaal Type\,chalk sticks,300022413,,
lavis,Lavis,Digipolis Thesauri\Materiaal Type\,watercolor (paint),300015045,,
mezzotint,,,,,,
monotype,,,,,,
negropotlood,Negropotlood,Digipolis Thesauri\Materiaal Type\,pencils (drawing and writing equipment),300022439,,
oliepastel,Oliepastel,Digipolis Thesauri\Materiaal Type\,oil pastels,300230810,,
olieverf,Olieverf,Digipolis Thesauri\Materiaal Type\,oil paint (paint),300015050,,
Oost-Indische inkt,Oost-Indische Inkt,Digipolis Thesauri\Materiaal Type\,India ink (ink),300015018,,
Oost-Indische inktwas,,,,,,
pastel,Pastel,Digipolis Thesauri\Materiaal Type\,pastels (crayons),300122621,,
pen,Pen,Digipolis Thesauri\Materiaal Type\,ink,300015012,,
penseel,Penseel,Digipolis Thesauri\Materiaal Type\,paint (coating),300015029,,
potlood,Potlood,Digipolis Thesauri\Materiaal Type\,pencils (drawing and writing equipment),300022439,production,
rietpen,Rietpen,Digipolis Thesauri\Materiaal Type\,ink,300015012,,
sanguine,Sanguine,Digipolis Thesauri\Materiaal Type\,red chalk,300080064,,
sepialavis,Sepialavis,Digipolis Thesauri\Materiaal Type\,lavis (technique),300417481,,
sepiamonotype,,,,,,
tegendruk,Tegendruk,Digipolis Thesauri\Materiaal Type\,ink,300015012,,
vernis mou,Vernis Mou,Digipolis Thesauri\Materiaal Type\,ink,300015012,,
viltstift,Viltstift,Digipolis Thesauri\Materiaal Type\,felt-tip pens,300022458,,
twk,Waskrijt,Digipolis Thesauri\Materiaal Type\,wax crayons,300167812,,
waterverf,Waterverf,Digipolis Thesauri\Materiaal Type\,watercolor (paint),300015045,,
